resolution	problem	id	path	target	locale	resource_type	target_handle	resource_id	base_handle	resource_state	translation_outdated
VALID_TRANSLATED_COLLECTION	missing_collection	gid://shopify/UrlRedirect/1768258470226	/et/collections/other-1	/et/collections/muud	et	Collection	muud	gid://shopify/Collection/606557897042	other	EXISTS	False
UNRESOLVED	missing_product	gid://shopify/UrlRedirect/1768244511058	/collections/wall-decals-canada/products/nespresso-coffee-capsule-holder-3d-23552	/products/3d-printed-coffee-capsule-holder-pod-organizer		Product	3d-printed-coffee-capsule-holder-pod-organizer				
UNRESOLVED	missing_product	gid://shopify/UrlRedirect/1768291926354	/de/collections/wall-decals-canada/products/nespresso-coffee-capsule-holder-3d-23552	/products/3d-printed-coffee-capsule-holder-pod-organizer		Product	3d-printed-coffee-capsule-holder-pod-organizer				
VALID_TRANSLATED_ACTIVE_PRODUCT	missing_product	gid://shopify/UrlRedirect/1768238580050	/et/collections/car-business-decals/products/laughing-pumpkin-decal-halloween-scary-30472	/et/products/naerva-korvitsa-kleebis-halloween-hirmus-kuri-nagu-vinuulist-seinakleebis-oudne-ja-jube-suur-oranz-korvits-kodukaunistuseks-1538730472-_	et	Product	naerva-korvitsa-kleebis-halloween-hirmus-kuri-nagu-vinuulist-seinakleebis-oudne-ja-jube-suur-oranz-korvits-kodukaunistuseks-1538730472-_	gid://shopify/Product/8568443830610	orange-pumpkin-face-wall-decal	ACTIVE	True
VALID_TRANSLATED_ACTIVE_PRODUCT	missing_product	gid://shopify/UrlRedirect/1768244871506	/et/collections/car-door-decals/products/custom-car-hood-vinyl-sticker-wrap-for-55626	/et/products/kohandatud-auto-kapoti-vinuulist-kleebisumbris-veoauto-kunstikleebise-jaoks-taisgraafiline-voidusoidu-sport-pimendav-disain-seinamaal	et	Product	kohandatud-auto-kapoti-vinuulist-kleebisumbris-veoauto-kunstikleebise-jaoks-taisgraafiline-voidusoidu-sport-pimendav-disain-seinamaal	gid://shopify/Product/7347936624890	custom-car-hood-vinyl-sticker-wrap-for-truck-art-decal-full-graphic-racing-sport-blackout-design-mural	ACTIVE	False
VALID_TRANSLATED_ACTIVE_PRODUCT	missing_product	gid://shopify/UrlRedirect/1768247853394	/et/collections/custom-bulk-stickers/products/50x-leopard-animal-skin-sticker-pack-of-75820	/et/products/50x-leopardloomanahast-kleebiste-pakk-gepardi-nahast-prindikleebised-vinuulumbriskleebised-armsad-kohakunstid-tudrukutele-ulekandekleebised	et	Product	50x-leopardloomanahast-kleebiste-pakk-gepardi-nahast-prindikleebised-vinuulumbriskleebised-armsad-kohakunstid-tudrukutele-ulekandekleebised	gid://shopify/Product/7348203553018	50x-leopard-animal-skin-sticker-pack-of-cheetah-skins-print-decal-vinyl-wrap-stickers-cute-spot-art-for-girls-transfer-decals	ACTIVE	False
VALID_TRANSLATED_ACTIVE_PRODUCT	missing_product	gid://shopify/UrlRedirect/1768244969810	/et/collections/custom-bulk-stickers/products/custom-car-hood-vinyl-sticker-wrap-for-55626	/et/products/kohandatud-auto-kapoti-vinuulist-kleebisumbris-veoauto-kunstikleebise-jaoks-taisgraafiline-voidusoidu-sport-pimendav-disain-seinamaal	et	Product	kohandatud-auto-kapoti-vinuulist-kleebisumbris-veoauto-kunstikleebise-jaoks-taisgraafiline-voidusoidu-sport-pimendav-disain-seinamaal	gid://shopify/Product/7347936624890	custom-car-hood-vinyl-sticker-wrap-for-truck-art-decal-full-graphic-racing-sport-blackout-design-mural	ACTIVE	False
VALID_TRANSLATED_ACTIVE_PRODUCT	missing_product	gid://shopify/UrlRedirect/1768249426258	/et/collections/custom-bulk-stickers/products/wall-frame-sticker-picture-frames-72348	/et/products/seinaraam-kleebis-pildiraamid-kleebised-foto-vinuulkleebised-polaroid-minipere-kaunistatud-kleebised-fotod-isetegemise-sisustuskomplekt-dekoorkunst	et	Product	seinaraam-kleebis-pildiraamid-kleebised-foto-vinuulkleebised-polaroid-minipere-kaunistatud-kleebised-fotod-isetegemise-sisustuskomplekt-dekoorkunst	gid://shopify/Product/7348074873082	wall-frame-sticker-picture-frames-stickers-photo-vinyl-decals-polaroid-mini-family-decorated-decal-photos-diy-interior-set-decor-art	ACTIVE	False
UNRESOLVED	missing_product	gid://shopify/UrlRedirect/1768245428562	/et/collections/koik/products/nespresso-coffee-capsule-holder-3d-23552	/et/products/3d-printed-coffee-capsule-holder-pod-organizer	et	Product	3d-printed-coffee-capsule-holder-pod-organizer				
VALID_TRANSLATED_ACTIVE_PRODUCT	missing_product	gid://shopify/UrlRedirect/1768248082770	/et/collections/koik/products/thinking-panda-sticker-inspired-by-30786	/et/products/motlev-panda-kleebis-inspireeritud-banksy-kunstist-vinuul-dj-baksy-seinakleebis-korvaklapid-pandakaru-muusika-motleja-tanavagrafiti-nutikas-seinamaaling	et	Product	motlev-panda-kleebis-inspireeritud-banksy-kunstist-vinuul-dj-baksy-seinakleebis-korvaklapid-pandakaru-muusika-motleja-tanavagrafiti-nutikas-seinamaaling	gid://shopify/Product/7632889413882	thinking-panda-sticker-inspired-by-banksy-art-vinyl-dj-baksy-wall-decal-headphones-pandas-bear-music-thinker-street-graffiti-smart-mural	ACTIVE	False
VALID_TRANSLATED_ACTIVE_PRODUCT	missing_product	gid://shopify/UrlRedirect/1768249459026	/et/collections/koik/products/wall-frame-sticker-picture-frames-72348	/et/products/seinaraam-kleebis-pildiraamid-kleebised-foto-vinuulkleebised-polaroid-minipere-kaunistatud-kleebised-fotod-isetegemise-sisustuskomplekt-dekoorkunst	et	Product	seinaraam-kleebis-pildiraamid-kleebised-foto-vinuulkleebised-polaroid-minipere-kaunistatud-kleebised-fotod-isetegemise-sisustuskomplekt-dekoorkunst	gid://shopify/Product/7348074873082	wall-frame-sticker-picture-frames-stickers-photo-vinyl-decals-polaroid-mini-family-decorated-decal-photos-diy-interior-set-decor-art	ACTIVE	False
VALID_TRANSLATED_ACTIVE_PRODUCT	missing_product	gid://shopify/UrlRedirect/1768248115538	/et/collections/parimad-muujad/products/50x-leopard-animal-skin-sticker-pack-of-75820	/et/products/50x-leopardloomanahast-kleebiste-pakk-gepardi-nahast-prindikleebised-vinuulumbriskleebised-armsad-kohakunstid-tudrukutele-ulekandekleebised	et	Product	50x-leopardloomanahast-kleebiste-pakk-gepardi-nahast-prindikleebised-vinuulumbriskleebised-armsad-kohakunstid-tudrukutele-ulekandekleebised	gid://shopify/Product/7348203553018	50x-leopard-animal-skin-sticker-pack-of-cheetah-skins-print-decal-vinyl-wrap-stickers-cute-spot-art-for-girls-transfer-decals	ACTIVE	False
VALID_TRANSLATED_ACTIVE_PRODUCT	missing_product	gid://shopify/UrlRedirect/1768245789010	/et/collections/parimad-muujad/products/custom-car-hood-vinyl-sticker-wrap-for-55626	/et/products/kohandatud-auto-kapoti-vinuulist-kleebisumbris-veoauto-kunstikleebise-jaoks-taisgraafiline-voidusoidu-sport-pimendav-disain-seinamaal	et	Product	kohandatud-auto-kapoti-vinuulist-kleebisumbris-veoauto-kunstikleebise-jaoks-taisgraafiline-voidusoidu-sport-pimendav-disain-seinamaal	gid://shopify/Product/7347936624890	custom-car-hood-vinyl-sticker-wrap-for-truck-art-decal-full-graphic-racing-sport-blackout-design-mural	ACTIVE	False
VALID_TRANSLATED_ACTIVE_PRODUCT	missing_product	gid://shopify/UrlRedirect/1768249491794	/et/collections/parimad-muujad/products/wall-frame-sticker-picture-frames-72348	/et/products/seinaraam-kleebis-pildiraamid-kleebised-foto-vinuulkleebised-polaroid-minipere-kaunistatud-kleebised-fotod-isetegemise-sisustuskomplekt-dekoorkunst	et	Product	seinaraam-kleebis-pildiraamid-kleebised-foto-vinuulkleebised-polaroid-minipere-kaunistatud-kleebised-fotod-isetegemise-sisustuskomplekt-dekoorkunst	gid://shopify/Product/7348074873082	wall-frame-sticker-picture-frames-stickers-photo-vinyl-decals-polaroid-mini-family-decorated-decal-photos-diy-interior-set-decor-art	ACTIVE	False
VALID_TRANSLATED_ACTIVE_PRODUCT	missing_product	gid://shopify/UrlRedirect/1768245854546	/et/collections/seinakleebised/products/lion-head-wall-vinyl-sticker-roar-32474	/et/products/lovipea-seina-vinuulkleebis-moirgama-loom-kuningas-nagu-aken-kunst-dekoor-siluett-kleebis-vau-tatoveering-pulk-sulearvutil-unikaalne-ruumi-print	et	Product	lovipea-seina-vinuulkleebis-moirgama-loom-kuningas-nagu-aken-kunst-dekoor-siluett-kleebis-vau-tatoveering-pulk-sulearvutil-unikaalne-ruumi-print	gid://shopify/Product/7348281082106	lion-head-wall-vinyl-sticker-roar-animal-king-face-window-art-decor-silhouette-decal-wow-tattoo-stick-on-laptop-unique-room-print	ACTIVE	False
VALID_TRANSLATED_ACTIVE_PRODUCT	missing_product	gid://shopify/UrlRedirect/1768248148306	/et/collections/wall-decals-canada/products/50x-leopard-animal-skin-sticker-pack-of-75820	/et/products/50x-leopardloomanahast-kleebiste-pakk-gepardi-nahast-prindikleebised-vinuulumbriskleebised-armsad-kohakunstid-tudrukutele-ulekandekleebised	et	Product	50x-leopardloomanahast-kleebiste-pakk-gepardi-nahast-prindikleebised-vinuulumbriskleebised-armsad-kohakunstid-tudrukutele-ulekandekleebised	gid://shopify/Product/7348203553018	50x-leopard-animal-skin-sticker-pack-of-cheetah-skins-print-decal-vinyl-wrap-stickers-cute-spot-art-for-girls-transfer-decals	ACTIVE	False
VALID_TRANSLATED_ACTIVE_PRODUCT	missing_product	gid://shopify/UrlRedirect/1768245920082	/et/collections/wall-decals-canada/products/custom-car-hood-vinyl-sticker-wrap-for-55626	/et/products/kohandatud-auto-kapoti-vinuulist-kleebisumbris-veoauto-kunstikleebise-jaoks-taisgraafiline-voidusoidu-sport-pimendav-disain-seinamaal	et	Product	kohandatud-auto-kapoti-vinuulist-kleebisumbris-veoauto-kunstikleebise-jaoks-taisgraafiline-voidusoidu-sport-pimendav-disain-seinamaal	gid://shopify/Product/7347936624890	custom-car-hood-vinyl-sticker-wrap-for-truck-art-decal-full-graphic-racing-sport-blackout-design-mural	ACTIVE	False
UNRESOLVED	missing_product	gid://shopify/UrlRedirect/1768246018386	/et/collections/wall-decals-canada/products/nespresso-coffee-capsule-holder-3d-23552	/et/products/3d-printed-coffee-capsule-holder-pod-organizer	et	Product	3d-printed-coffee-capsule-holder-pod-organizer				
VALID_TRANSLATED_ACTIVE_PRODUCT	missing_product	gid://shopify/UrlRedirect/1768248246610	/et/collections/wall-decals-canada/products/thinking-panda-sticker-inspired-by-30786	/et/products/motlev-panda-kleebis-inspireeritud-banksy-kunstist-vinuul-dj-baksy-seinakleebis-korvaklapid-pandakaru-muusika-motleja-tanavagrafiti-nutikas-seinamaaling	et	Product	motlev-panda-kleebis-inspireeritud-banksy-kunstist-vinuul-dj-baksy-seinakleebis-korvaklapid-pandakaru-muusika-motleja-tanavagrafiti-nutikas-seinamaaling	gid://shopify/Product/7632889413882	thinking-panda-sticker-inspired-by-banksy-art-vinyl-dj-baksy-wall-decal-headphones-pandas-bear-music-thinker-street-graffiti-smart-mural	ACTIVE	False
VALID_TRANSLATED_ACTIVE_PRODUCT	missing_product	gid://shopify/UrlRedirect/1768249524562	/et/collections/wall-decals-canada/products/wall-frame-sticker-picture-frames-72348	/et/products/seinaraam-kleebis-pildiraamid-kleebised-foto-vinuulkleebised-polaroid-minipere-kaunistatud-kleebised-fotod-isetegemise-sisustuskomplekt-dekoorkunst	et	Product	seinaraam-kleebis-pildiraamid-kleebised-foto-vinuulkleebised-polaroid-minipere-kaunistatud-kleebised-fotod-isetegemise-sisustuskomplekt-dekoorkunst	gid://shopify/Product/7348074873082	wall-frame-sticker-picture-frames-stickers-photo-vinyl-decals-polaroid-mini-family-decorated-decal-photos-diy-interior-set-decor-art	ACTIVE	False
VALID_TRANSLATED_ACTIVE_PRODUCT	missing_product	gid://shopify/UrlRedirect/1768248279378	/et/products/50x-leopard-animal-skin-sticker-pack-of-75820	/et/products/50x-leopardloomanahast-kleebiste-pakk-gepardi-nahast-prindikleebised-vinuulumbriskleebised-armsad-kohakunstid-tudrukutele-ulekandekleebised	et	Product	50x-leopardloomanahast-kleebiste-pakk-gepardi-nahast-prindikleebised-vinuulumbriskleebised-armsad-kohakunstid-tudrukutele-ulekandekleebised	gid://shopify/Product/7348203553018	50x-leopard-animal-skin-sticker-pack-of-cheetah-skins-print-decal-vinyl-wrap-stickers-cute-spot-art-for-girls-transfer-decals	ACTIVE	False
VALID_TRANSLATED_ACTIVE_PRODUCT	missing_product	gid://shopify/UrlRedirect/1768246116690	/et/products/custom-car-hood-vinyl-sticker-wrap-for-55626	/et/products/kohandatud-auto-kapoti-vinuulist-kleebisumbris-veoauto-kunstikleebise-jaoks-taisgraafiline-voidusoidu-sport-pimendav-disain-seinamaal	et	Product	kohandatud-auto-kapoti-vinuulist-kleebisumbris-veoauto-kunstikleebise-jaoks-taisgraafiline-voidusoidu-sport-pimendav-disain-seinamaal	gid://shopify/Product/7347936624890	custom-car-hood-vinyl-sticker-wrap-for-truck-art-decal-full-graphic-racing-sport-blackout-design-mural	ACTIVE	False
VALID_TRANSLATED_ACTIVE_PRODUCT	missing_product	gid://shopify/UrlRedirect/1768246280530	/et/products/lion-head-wall-vinyl-sticker-roar-32474	/et/products/lovipea-seina-vinuulkleebis-moirgama-loom-kuningas-nagu-aken-kunst-dekoor-siluett-kleebis-vau-tatoveering-pulk-sulearvutil-unikaalne-ruumi-print	et	Product	lovipea-seina-vinuulkleebis-moirgama-loom-kuningas-nagu-aken-kunst-dekoor-siluett-kleebis-vau-tatoveering-pulk-sulearvutil-unikaalne-ruumi-print	gid://shopify/Product/7348281082106	lion-head-wall-vinyl-sticker-roar-animal-king-face-window-art-decor-silhouette-decal-wow-tattoo-stick-on-laptop-unique-room-print	ACTIVE	False
UNRESOLVED	missing_product	gid://shopify/UrlRedirect/1768246346066	/et/products/nespresso-coffee-capsule-holder-3d-23552	/et/products/3d-printed-coffee-capsule-holder-pod-organizer	et	Product	3d-printed-coffee-capsule-holder-pod-organizer				
UNRESOLVED	missing_product	gid://shopify/UrlRedirect/1768246378834	/et/products/nespresso-coffee-capsule-holder-3d-23552?variant=50145384726866	/et/products/3d-printed-coffee-capsule-holder-pod-organizer	et	Product	3d-printed-coffee-capsule-holder-pod-organizer				
UNRESOLVED	missing_product	gid://shopify/UrlRedirect/1768246411602	/et/products/nespresso-coffee-capsule-holder-3d-23552?variant=50145384956242	/et/products/3d-printed-coffee-capsule-holder-pod-organizer	et	Product	3d-printed-coffee-capsule-holder-pod-organizer				
UNRESOLVED	missing_product	gid://shopify/UrlRedirect/1768246444370	/et/products/nespresso-coffee-capsule-holder-3d-23552?variant=50145384989010	/et/products/3d-printed-coffee-capsule-holder-pod-organizer	et	Product	3d-printed-coffee-capsule-holder-pod-organizer				
UNRESOLVED	missing_product	gid://shopify/UrlRedirect/1768246477138	/et/products/nespresso-coffee-capsule-holder-3d-23552?variant=50145385021778	/et/products/3d-printed-coffee-capsule-holder-pod-organizer	et	Product	3d-printed-coffee-capsule-holder-pod-organizer				
VALID_TRANSLATED_ACTIVE_PRODUCT	missing_product	gid://shopify/UrlRedirect/1768248377682	/et/products/thinking-panda-sticker-inspired-by-30786	/et/products/motlev-panda-kleebis-inspireeritud-banksy-kunstist-vinuul-dj-baksy-seinakleebis-korvaklapid-pandakaru-muusika-motleja-tanavagrafiti-nutikas-seinamaaling	et	Product	motlev-panda-kleebis-inspireeritud-banksy-kunstist-vinuul-dj-baksy-seinakleebis-korvaklapid-pandakaru-muusika-motleja-tanavagrafiti-nutikas-seinamaaling	gid://shopify/Product/7632889413882	thinking-panda-sticker-inspired-by-banksy-art-vinyl-dj-baksy-wall-decal-headphones-pandas-bear-music-thinker-street-graffiti-smart-mural	ACTIVE	False
VALID_TRANSLATED_ACTIVE_PRODUCT	missing_product	gid://shopify/UrlRedirect/1768249557330	/et/products/wall-frame-sticker-picture-frames-72348	/et/products/seinaraam-kleebis-pildiraamid-kleebised-foto-vinuulkleebised-polaroid-minipere-kaunistatud-kleebised-fotod-isetegemise-sisustuskomplekt-dekoorkunst	et	Product	seinaraam-kleebis-pildiraamid-kleebised-foto-vinuulkleebised-polaroid-minipere-kaunistatud-kleebised-fotod-isetegemise-sisustuskomplekt-dekoorkunst	gid://shopify/Product/7348074873082	wall-frame-sticker-picture-frames-stickers-photo-vinyl-decals-polaroid-mini-family-decorated-decal-photos-diy-interior-set-decor-art	ACTIVE	False
UNRESOLVED	missing_product	gid://shopify/UrlRedirect/1744517824850	/products/nespresso-coffee-capsule-holder-3d-23552	/products/3d-printed-coffee-capsule-holder-pod-organizer		Product	3d-printed-coffee-capsule-holder-pod-organizer				
UNRESOLVED	missing_product	gid://shopify/UrlRedirect/1498710638930	/ru/collections/custom-personalized/products/custom-mirror-decal-personalized-text-quote-glass-sticker-vinyl-customized-letter-window-decals-create-customize-saying-stickers_1420597930_	/products/custom-mirror-decal-personalized-text-quote-glass-sticker-vinyl-customized-letter-window-decals-create-customize-saying-stickers_1420597930_		Product	custom-mirror-decal-personalized-text-quote-glass-sticker-vinyl-customized-letter-window-decals-create-customize-saying-stickers_1420597930_				
REACHABLE_UNLISTED_PRODUCT	non_active_product	gid://shopify/UrlRedirect/1748693811538	/products/frosted-fanlight-door-number-decal-67794	/products/frosted-fanlight-door-number-decal-etched-glass-house-number-sticker		Product	frosted-fanlight-door-number-decal-etched-glass-house-number-sticker	gid://shopify/Product/10053843681618	frosted-fanlight-door-number-decal-etched-glass-house-number-sticker	UNLISTED	
VALID_BUILTIN_ROUTE	unknown_internal_route	gid://shopify/UrlRedirect/1746243846482	/sitemap_index.xml	/sitemap.xml		Builtin	sitemap.xml			LIVE	
